7359
7636
7656
7363
7473
7280
7912
7807
57
57
59
55
57
55
55
54
56
19995
20476
21487
19975
19965
20051
21311
20945
20730
20684
19859
20310
20272
20485
20596
21272
20770
19796
20335
21746
21140
20540
20578
20530
21290
21314
21259
22080
21270
20161
20568
19844
20492
20185
21347
20031
20241
20917
20908
20257
19689
19990
20572
20116
20486
21390
20555
20967
20345
19892
20827
21174
20965
21313
19931
19892
21447
19661
20333
19836
19262
20111
19596
20185
20228
20756
19844
19400
19983
19921
19855
19317
20225
20170
19612
20560
19961
21523
20272
21228
20515
20328
20142
20095
19902
20515
21090
20184
20081
20441
19816
16375
20984
20243
21094
20791
19593
21130
20927
20763
19621
19322
19746
20752
19929
19969
20033
19911
21397
20482
21444
20805
20588
21473
20075
19523
19986
20944
19280
19753
19543
19663
20048
20011
19490
20006
21301
21406
21365
20821
20372
20970
20736
20023
16732
19779
72
58
8161
8725
8503
8559
8118
8619ms 
9548ms 
8734ms 
0ms 
0ms 
0ms 
8788ms 
7300ms 
7321ms 
7056ms 
7435ms 
7440ms 
7388ms 
7141ms 
7216ms 
6904ms 
7309ms 
7122ms 
7060ms 
7687ms 
7239ms 
7223ms 
6868ms 
6565ms 
6612ms 
6741ms 
6770ms 
6991ms 
7096ms 
7100ms 
7278ms 
7333ms 
7148ms 
7s 
7462 
7094 
7512 
7344 
8740 
8824 
8326 
8438 
8361 
8348 
8983 
8517 
8035 
8660 
8731 
0 
8445 
8102 
8688 
8738 
8340 
